,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,5805,Avalanche,AVAX,avalanche,828,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1']",715748719.0,409802747.8651877,448139047.8651877,False,,11,,,,2024-12-21T11:39:00.000Z,40.50305080758275,1022894723.1351179,-26.2173,-1.3488989,17.82296964,-23.81098507,19.42006626,45.26409426,50.29913222,16598261517.870722,0.4878,28990006731.12,,2024-12-21T11:39:00.000Z,,,,,,2024-12-21 14:40:22.472546
11,1975,Chainlink,LINK,chainlink,1902,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,638099970.4527867,1000000000.0,False,,12,,,,2024-12-21T11:39:00.000Z,23.785571119075854,1731327995.399592,-15.2636,-1.72702225,16.72640419,-20.90907116,63.70840154,95.27393195,111.79882792,15177572228.284958,0.4461,23785571119.08,,2024-12-21T11:39:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-12-21 14:40:22.472546
12,11419,Toncoin,TON,toncoin,641,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2551720579.1497045,5117909677.204612,True,,13,3414166606.0,18760045015.207565,,2024-12-21T11:38:00.000Z,5.494765540216746,392616351.8608057,-43.5859,-0.68877091,13.47166104,-12.06574082,1.33887837,4.45362212,-1.01578546,14021106306.573713,0.4129,28121713732.25,,2024-12-21T11:38:00.000Z,,,,,,2024-12-21 14:40:22.472546
13,20947,Sui,SUI,sui,491,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm']",10000000000.0,2927660018.558888,10000000000.0,False,,14,,,,2024-12-21T11:39:00.000Z,4.750936481787421,3914398903.152159,13.2743,-0.59105414,33.58287387,2.17054005,38.98802481,142.27373426,219.2945058,13909126788.441858,0.4088,47509364817.87,,2024-12-21T11:39:00.000Z,,,,,,2024-12-21 14:40:22.472546
14,5994,Shiba Inu,SHIB,shiba-inu,921,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589255482512103.4,589508569657872.1,False,,15,,,,2024-12-21T11:39:00.000Z,2.2958968307559205e-05,1441155446.9079282,-21.6656,-1.60090119,21.09207307,-18.29672734,-3.83266677,25.70199916,58.33897371,13528697948.050888,0.3976,13534508567.81,,2024-12-21T11:39:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-12-21 14:40:22.472546
0,1,Bitcoin,BTC,bitcoin,11849,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season']",21000000.0,19799115.0,19799115.0,False,,1,,,,2024-12-21T11:39:00.000Z,98252.89287647695,80313359823.57991,-27.0025,0.08323425,5.41962275,-3.29477807,0.45714737,45.89097574,56.32420875,1945320325144.0479,57.1754,2063310750406.02,,2024-12-21T11:39:00.000Z,,,,,,2024-12-21 14:41:22.753072
1,1027,Ethereum,ETH,ethereum,9710,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120453570.82352062,120453570.82352062,True,,2,,,,2024-12-21T11:40:00.000Z,3444.5166913664575,46677041349.8599,-33.1706,-0.6447785,10.14540159,-11.71911234,9.61629997,30.72500172,33.26525996,414904335236.3085,12.1946,414904335236.31,,2024-12-21T11:40:00.000Z,,,,,,2024-12-21 14:41:22.753072
2,825,Tether USDt,USDT,tether,109566,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,139872815646.93893,143440125287.04865,True,,3,,,,2024-12-21T11:40:00.000Z,0.9997954581611908,201434873753.55408,-24.7317,0.00131255,0.14741548,-0.00792228,-0.01279781,0.0587679,-0.06047817,139844205804.02707,4.1102,143410785780.06,,2024-12-21T11:40:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-12-21 14:41:22.753072
3,52,XRP,XRP,xrp,1485,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season']",100000000000.0,57252380420.0,99986807248.0,False,,4,,,,2024-12-21T11:40:00.000Z,2.3021617966121752,21692483480.408176,-11.0866,-0.68114405,15.78061573,-5.32438233,107.00162705,330.7747971,287.92387917,131804242968.03093,3.8739,230216179661.22,,2024-12-21T11:40:00.000Z,,,,,,2024-12-21 14:41:22.753072
4,1839,BNB,BNB,bnb,2314,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,144007752.79,144007752.79,False,,5,,,,2024-12-21T11:40:00.000Z,677.3735473037797,2482290704.812626,-18.7875,-0.47406491,8.88845322,-6.03604635,11.2073162,13.86227859,16.21943261,97547042346.60806,2.8666,97547042346.61,,2024-12-21T11:40:00.000Z,,,,,,2024-12-21 14:41:22.753072
5,5426,Solana,SOL,solana,813,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,479246800.40701795,590503085.5915459,True,,6,,,,2024-12-21T11:40:00.000Z,193.1949391647434,6595241996.202821,-34.3909,-0.77460626,8.52519384,-14.11940376,-20.08518611,14.6481524,33.29143118,92588056449.53175,2.7213,114082207697.45,,2024-12-21T11:40:00.000Z,,,,,,2024-12-21 14:41:22.753072
6,74,Dogecoin,DOGE,dogecoin,1130,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,147291446383.70526,147291446383.70526,True,,7,,,,2024-12-21T11:40:00.000Z,0.33577781228145176,9686784553.001831,-17.6215,-0.84445023,25.62345494,-17.48694152,-11.89776197,134.5619276,213.87198134,49457199634.4913,1.4536,49457199634.49,,2024-12-21T11:40:00.000Z,,,,,,2024-12-21 14:41:22.753072
